,ExpName,PsNum,Age,Sex,Vision,Date,RunType,Distractor,Target,corrAns,arduino_rt,CurrTrialType,PrevTrialType,CurrAcc,PrevAcc,median_distance,Outlier
574,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Up.png,j,372.0,Congruent,Neutral,Correct,Distractor Response,Invalid,Invalid
575,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,332.0,Congruent,Congruent,Correct,Correct,62.0,False
576,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,333.0,Neutral,Congruent,Correct,Correct,90.0,False
577,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,333.0,Congruent,Neutral,Correct,Correct,50.0,False
578,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,266.0,Congruent,Congruent,Correct,Correct,121.0,False
579,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,432.0,Neutral,Congruent,Correct,Correct,83.0,False
580,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Up.png,j,295.0,Congruent,Neutral,Correct,Correct,84.0,False
581,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,394.0,Incongruent,Congruent,Correct,Correct,94.0,False
582,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,255.0,Congruent,Incongruent,Correct,Correct,130.0,False
583,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Right.png,g,509.0,Neutral,Congruent,Correct,Correct,103.0,False
584,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,530.0,Neutral,Neutral,Correct,Correct,129.0,False
585,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,628.0,Neutral,Neutral,Correct,Correct,224.0,False
586,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,468.0,Incongruent,Neutral,Correct,Correct,98.0,False
587,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Right.png,g,515.0,Neutral,Incongruent,Correct,Correct,122.0,False
588,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,362.0,Incongruent,Neutral,Correct,Correct,52.0,False
589,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,318.0,Neutral,Incongruent,Correct,Correct,120.0,False
590,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,443.0,Neutral,Neutral,Correct,Correct,85.0,False
591,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,333.0,Congruent,Neutral,Correct,Correct,50.0,False
592,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,648.0,Incongruent,Congruent,Correct,Correct,162.0,False
593,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,482.0,Incongruent,Incongruent,Correct,Correct,114.0,False
594,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,335.0,Neutral,Incongruent,Correct,Correct,103.0,False
595,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,632.0,Congruent,Neutral,Correct,Correct,255.0,True
596,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,377.0,Incongruent,Congruent,Correct,Correct,110.0,False
597,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,358.0,Incongruent,Incongruent,Correct,Correct,37.0,False
598,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,316.0,Neutral,Incongruent,Correct,Correct,122.0,False
